ID Geography,Geography,Food Environment Index (2014),Food Environment Index (2015),Food Environment Index (2016),Food Environment Index (2017),Food Environment Index (2018)
"05000US05113","Polk County, AR",5.989999771118164,5.5,5.199999809265137,5.5,5.900000095367432
"05000US54083","Randolph County, WV",7.888000011444092,7.699999809265137,7.699999809265137,7.599999904632568,7.900000095367432
"05000US31135","Perkins County, NE",7.061999797821045,6.699999809265137,6.5,6.5,8.199999809265137
"05000US38009","Bottineau County, ND",8.569000244140625,8.399999618530273,8.100000381469727,8,8.399999618530273
"05000US05115","Pope County, AR",7.249000072479248,6.800000190734863,6.599999904632568,6.800000190734863,7.199999809265137
"05000US54081","Raleigh County, WV",7.046000003814697,6.599999904632568,6.5,6.300000190734863,6.800000190734863
"05000US31133","Pawnee County, NE",8.496000289916992,8,7.400000095367432,7.5,7.800000190734863
"05000US05117","Prairie County, AR",7.515999794006348,7,6.699999809265137,6.800000190734863,5.599999904632568
"05000US38011","Bowman County, ND",9.711000442504883,9.600000381469727,9.300000190734863,9.300000190734863,9.600000381469727
"05000US31131","Otoe County, NE",8.520999908447266,8.199999809265137,8.100000381469727,8.199999809265137,8.399999618530273
"05000US05119","Pulaski County, AR",6.035999774932861,5.599999904632568,5.5,5.5,6.099999904632568
"05000US54079","Putnam County, WV",8.569999694824219,8.399999618530273,8.199999809265137,8.100000381469727,8.399999618530273
"05000US31129","Nuckolls County, NE",7.2129998207092285,6.699999809265137,6.699999809265137,6.699999809265137,7.5
"05000US38013","Burke County, ND",7.9039998054504395,7.400000095367432,7.099999904632568,6.900000095367432,6.5
"05000US05121","Randolph County, AR",6.15500020980835,5.699999809265137,5.400000095367432,5.599999904632568,6.099999904632568
"05000US54077","Preston County, WV",8.220999717712402,7.900000095367432,7.800000190734863,7.599999904632568,7.699999809265137
"05000US31127","Nemaha County, NE",8.378000259399414,8,7.599999904632568,7.900000095367432,8.5
"05000US05123","St. Francis County, AR",4.011000156402588,3.700000047683716,3.5999999046325684,3.5999999046325684,4.5
"05000US38015","Burleigh County, ND",9.38700008392334,9.300000190734863,9.100000381469727,9.100000381469727,9.300000190734863
"05000US31125","Nance County, NE",6.263000011444092,5.699999809265137,5.5,5.599999904632568,7.099999904632568
"05000US05125","Saline County, AR",7.9019999504089355,7.5,7.300000190734863,7.400000095367432,7.800000190734863
"05000US54075","Pocahontas County, WV",6.386000156402588,5.900000095367432,6,6,6.599999904632568
"05000US31123","Morrill County, NE",6.880000114440918,6.5,6.5,6.5,7.099999904632568
"05000US38017","Cass County, ND",9.034000396728516,8.800000190734863,8.699999809265137,8.600000381469727,8.899999618530273
"05000US05127","Scott County, AR",7.173999786376953,6.800000190734863,6.699999809265137,7,7.300000190734863
"05000US54073","Pleasants County, WV",8.17199993133545,8.199999809265137,8.199999809265137,8.199999809265137,7.900000095367432
"05000US31121","Merrick County, NE",7.659999847412109,7.300000190734863,7.099999904632568,7.099999904632568,7.599999904632568
"05000US05129","Searcy County, AR",5.781000137329102,5.199999809265137,5,5.300000190734863,6.099999904632568
"05000US38019","Cavalier County, ND",9.442999839782715,9.300000190734863,9.100000381469727,9.100000381469727,9.300000190734863
"05000US31119","Madison County, NE",7.872000217437744,7.599999904632568,7.5,7.5,8
"05000US05131","Sebastian County, AR",7.033999919891357,6.699999809265137,6.599999904632568,6.699999809265137,7.300000190734863
"05000US54071","Pendleton County, WV",7.349999904632568,7,6.900000095367432,6.800000190734863,6.599999904632568
"05000US31117","McPherson County, NE",6.716000080108643,5.900000095367432,5.699999809265137,5.699999809265137,5.800000190734863
"05000US38021","Dickey County, ND",7.840000152587891,7.5,7.400000095367432,7.400000095367432,9.5
"05000US05133","Sevier County, AR",5.804999828338623,5.300000190734863,5.699999809265137,5.900000095367432,7.5
"05000US54069","Ohio County, WV",7.258999824523926,7,6.900000095367432,6.800000190734863,7.5
"05000US31115","Loup County, NE",4.677999973297119,4.400000095367432,3.9000000953674316,4.300000190734863,5.699999809265137
"05000US05135","Sharp County, AR",6.668000221252441,6.300000190734863,5.900000095367432,6.099999904632568,6.5
"05000US38023","Divide County, ND",9.423999786376953,9.300000190734863,9.199999809265137,9.199999809265137,8.899999618530273
"05000US31113","Logan County, NE",6.833000183105469,6.300000190734863,5.800000190734863,5.5,8.199999809265137
"05000US05137","Stone County, AR",6.361999988555908,5.900000095367432,5.400000095367432,5.699999809265137,6.199999809265137
"05000US54067","Nicholas County, WV",8.21500015258789,7.800000190734863,7.599999904632568,7.5,7.800000190734863
"05000US31111","Lincoln County, NE",8.248000144958496,8,7.699999809265137,7.599999904632568,7.900000095367432
"05000US38025","Dunn County, ND",7.318999767303467,7.099999904632568,6.900000095367432,6.900000095367432,8.600000381469727
"05000US05139","Union County, AR",5.626999855041504,5.300000190734863,5.199999809265137,5.199999809265137,5.699999809265137
"05000US54065","Morgan County, WV",7.863999843597412,7.400000095367432,7.400000095367432,7.400000095367432,7.800000190734863
"05000US31109","Lancaster County, NE",8.25100040435791,7.900000095367432,7.699999809265137,7.699999809265137,8
"05000US05141","Van Buren County, AR",6.830999851226807,6.5,6.199999809265137,6.300000190734863,7
"05000US38027","Eddy County, ND",8.605999946594238,8.300000190734863,8.100000381469727,8,8.399999618530273
"05000US31107","Knox County, NE",5.934000015258789,5.599999904632568,5.300000190734863,5.300000190734863,8.100000381469727
"05000US05143","Washington County, AR",7.065999984741211,6.699999809265137,6.599999904632568,6.800000190734863,7.400000095367432
"05000US54063","Monroe County, WV",8.710000038146973,8.300000190734863,8.199999809265137,8,8
"05000US31105","Kimball County, NE",8.708000183105469,8.399999618530273,8,8.100000381469727,8.100000381469727
"05000US38029","Emmons County, ND",7.8379998207092285,7.599999904632568,7.400000095367432,7.400000095367432,8
"05000US05145","White County, AR",7.140999794006348,6.699999809265137,6.400000095367432,6.599999904632568,7.099999904632568
"05000US54061","Monongalia County, WV",7.116000175476074,6.699999809265137,6.699999809265137,6.599999904632568,7.199999809265137
"05000US31103","Keya Paha County, NE",3.9070000648498535,3.4000000953674316,3.0999999046325684,3.200000047683716,4.400000095367432
"05000US05147","Woodruff County, AR",6.072000026702881,5.599999904632568,5.599999904632568,5.599999904632568,6.300000190734863
"05000US38031","Foster County, ND",9.545000076293945,9.199999809265137,8.899999618530273,8.899999618530273,9.199999809265137
"05000US31101","Keith County, NE",8.388999938964844,8,7.699999809265137,7.699999809265137,8
"05000US05149","Yell County, AR",7.800000190734863,7.300000190734863,7.199999809265137,7.5,7.699999809265137
"05000US54059","Mingo County, WV",8.019000053405762,7.5,7.300000190734863,7.099999904632568,7
"05000US31099","Kearney County, NE",9.152000427246094,8.899999618530273,8.5,8.399999618530273,8.600000381469727
"05000US38033","Golden Valley County, ND",8.829999923706055,8.399999618530273,8.199999809265137,8.300000190734863,6.099999904632568
"05000US06001","Alameda County, CA",7.775000095367432,7.599999904632568,7.599999904632568,7.699999809265137,8.100000381469727
"05000US54057","Mineral County, WV",7.953999996185303,7.400000095367432,7.199999809265137,6.800000190734863,7.300000190734863
"05000US31097","Johnson County, NE",8.288000106811523,7.900000095367432,7.699999809265137,7.699999809265137,7.900000095367432
"05000US06003","Alpine County, CA",6.5960001945495605,6.5,6.099999904632568,6.5,6.699999809265137
"05000US38035","Grand Forks County, ND",7.954999923706055,7.699999809265137,7.599999904632568,7.5,8.100000381469727
"05000US31095","Jefferson County, NE",8.612000465393066,8.100000381469727,7.800000190734863,7.900000095367432,8.100000381469727
"05000US06005","Amador County, CA",8.072999954223633,7.699999809265137,7.400000095367432,7.599999904632568,7.900000095367432
"05000US54055","Mercer County, WV",7.1020002365112305,6.699999809265137,6.599999904632568,6.400000095367432,7
"05000US31093","Howard County, NE",8.548999786376953,8.300000190734863,8,7.900000095367432,8.199999809265137
"05000US38037","Grant County, ND",8.20300006866455,7.800000190734863,7.699999809265137,7.699999809265137,7.900000095367432
"05000US06007","Butte County, CA",6.755000114440918,6.400000095367432,6.400000095367432,6.5,6.800000190734863
"05000US54053","Mason County, WV",7.209000110626221,7,6.900000095367432,6.900000095367432,7.300000190734863
"05000US31091","Hooker County, NE",4.056000232696533,3.5,3.299999952316284,3.0999999046325684,7.699999809265137
"05000US06009","Calaveras County, CA",8.038000106811523,7.699999809265137,7.599999904632568,7.800000190734863,8
"05000US38039","Griggs County, ND",9.354000091552734,9.199999809265137,9,8.899999618530273,9.100000381469727
"05000US31089","Holt County, NE",8.434000015258789,8.100000381469727,7.699999809265137,7.599999904632568,7.800000190734863
"05000US06011","Colusa County, CA",6.946000099182129,7,7.599999904632568,7.699999809265137,8.399999618530273
"05000US54051","Marshall County, WV",7.118000030517578,6.900000095367432,6.800000190734863,6.800000190734863,7.5
"05000US31087","Hitchcock County, NE",5.176000118255615,4.800000190734863,4.400000095367432,4.400000095367432,4.099999904632568
"05000US38041","Hettinger County, ND",6.790999889373779,6.5,6.400000095367432,6.5,7.400000095367432
"05000US06013","Contra Costa County, CA",8.138999938964844,8,8,8.100000381469727,8.300000190734863
"05000US54049","Marion County, WV",8.03499984741211,7.599999904632568,7.599999904632568,7.5,7.800000190734863
"05000US31085","Hayes County, NE",5.624000072479248,5.400000095367432,5.199999809265137,5.199999809265137,5.800000190734863
"05000US06015","Del Norte County, CA",6.40500020980835,6,5.900000095367432,6,6.199999809265137
"05000US38043","Kidder County, ND",5.2829999923706055,5.199999809265137,5.300000190734863,5.5,7.400000095367432
"05000US31083","Harlan County, NE",9.121000289916992,8.600000381469727,8.300000190734863,8.300000190734863,8.5
"05000US06017","El Dorado County, CA",8.067000389099121,7.900000095367432,7.599999904632568,7.699999809265137,7.900000095367432
"05000US54047","McDowell County, WV",7.0320000648498535,6.699999809265137,6.400000095367432,6.099999904632568,6.699999809265137
"05000US31081","Hamilton County, NE",9.277999877929688,8.899999618530273,8.600000381469727,8.600000381469727,8.600000381469727
"05000US38045","LaMoure County, ND",7.442999839782715,7.300000190734863,7.099999904632568,6.900000095367432,8.899999618530273
"05000US06019","Fresno County, CA",6.460000038146973,6.5,6.900000095367432,7.099999904632568,7.800000190734863
"05000US54045","Logan County, WV",7.888999938964844,7.5,7.400000095367432,7.199999809265137,7.5
"05000US31079","Hall County, NE",8.34000015258789,8.100000381469727,8.199999809265137,8.100000381469727,7.900000095367432
"05000US06021","Glenn County, CA",7.010000228881836,6.900000095367432,7.199999809265137,7.300000190734863,8
"05000US38047","Logan County, ND",6.921000003814697,6.699999809265137,6.5,6.400000095367432,8.600000381469727
"05000US31077","Greeley County, NE",6.688000202178955,6.300000190734863,6.099999904632568,6,5
"05000US06023","Humboldt County, CA",7.0879998207092285,6.5,6.300000190734863,6.5,6.900000095367432
"05000US54043","Lincoln County, WV",7.801000118255615,7.5,7.5,7.300000190734863,7.599999904632568
"05000US31075","Grant County, NE",4.568999767303467,4.099999904632568,3.9000000953674316,4.099999904632568,4.199999809265137
"05000US38049","McHenry County, ND",6.040999889373779,5.800000190734863,5.699999809265137,5.699999809265137,7.599999904632568
"05000US06025","Imperial County, CA",4.796000003814697,5.300000190734863,6.5,6.699999809265137,7.300000190734863
"05000US54041","Lewis County, WV",8.204000473022461,7.699999809265137,7.699999809265137,7.599999904632568,7.699999809265137
"05000US31073","Gosper County, NE",7.122000217437744,6.699999809265137,6.5,6.5,6.900000095367432
"05000US06027","Inyo County, CA",7.283999919891357,6.900000095367432,6.800000190734863,6.800000190734863,7.300000190734863
"05000US38051","McIntosh County, ND",9.253999710083008,9.100000381469727,8.800000190734863,8.699999809265137,9
"05000US31071","Garfield County, NE",8.836000442504883,8.399999618530273,8.100000381469727,8.199999809265137,8.300000190734863
"05000US06029","Kern County, CA",6.8429999351501465,6.900000095367432,7.300000190734863,7.400000095367432,7.800000190734863
"05000US54039","Kanawha County, WV",7.718999862670898,7.400000095367432,7.300000190734863,7.099999904632568,7.5
"05000US31069","Garden County, NE",4.447999954223633,4.300000190734863,4.099999904632568,3.9000000953674316,5.699999809265137
"05000US38053","McKenzie County, ND",8.423999786376953,8.199999809265137,8.100000381469727,8,8.199999809265137
"05000US06031","Kings County, CA",6.619999885559082,6.5,7,7.099999904632568,7.800000190734863
"05000US54037","Jefferson County, WV",8.873000144958496,8.600000381469727,8.5,8.399999618530273,8.699999809265137
"05000US31067","Gage County, NE",8.130000114440918,7.800000190734863,7.599999904632568,7.599999904632568,7.800000190734863
"05000US06033","Lake County, CA",6.3429999351501465,6,6,6.400000095367432,6.699999809265137
